time,waiting_passenger_cnt,fail_passenger_cnt,empty_vehicle_cnt,driving_vehicle_cnt
1080,0,0,80,0
1081,0,0,75,5
1082,0,0,71,9
1083,0,0,70,10
1084,0,0,68,12
1085,0,0,65,15
1086,0,0,64,16
1087,0,0,61,19
1088,0,0,57,23
1089,0,0,56,24
1090,0,0,56,24
1091,0,0,54,26
1092,0,0,52,28
1093,0,0,50,30
1094,0,0,49,31
1095,0,0,45,35
1096,0,0,47,33
1097,0,0,47,33
1098,0,0,46,34
1099,0,0,43,37
1100,0,0,46,34
1101,0,0,48,32
1102,0,0,49,31
1103,0,0,48,32
1104,0,0,47,33
1105,0,0,47,33
1106,0,0,47,33
1107,0,0,50,30
1108,0,0,52,28
1109,0,0,52,28
1110,0,0,49,31
1111,0,0,49,31
1112,0,0,45,35
1113,0,0,43,37
1114,0,0,36,44
1115,0,0,34,46
1116,0,0,35,45
1117,0,0,36,44
1118,0,0,34,46
1119,0,0,32,48
1120,0,0,34,46
1121,0,0,35,45
1122,0,0,31,49
1123,0,0,30,50
1124,0,0,26,54
1125,0,0,26,54
1126,0,0,23,57
1127,0,0,22,58
1128,0,0,22,58
1129,0,0,22,58
1130,0,0,17,63
1131,0,0,15,65
1132,0,0,18,62
1133,0,0,18,62
1134,0,0,17,63
1135,0,0,13,67
1136,0,0,11,69
1137,0,0,13,67
1138,0,0,17,63
1139,0,0,15,65
1140,0,0,13,67
1141,0,0,14,66
1142,0,0,18,62
1143,0,0,14,66
1144,0,0,18,62
1145,0,0,18,62
1146,0,0,18,62
1147,0,0,18,62
1148,0,0,20,60
1149,0,0,21,59
1150,0,0,20,60
1151,0,0,23,57
1152,0,0,22,58
1153,0,0,27,53
1154,0,0,31,49
1155,0,0,34,46
1156,0,0,38,42
1157,0,0,43,37
1158,0,0,45,35
1159,0,0,48,32
1160,0,0,49,31
1161,0,0,48,32
1162,0,0,47,33
1163,0,0,45,35
1164,0,0,42,38
1165,0,0,41,39
1166,0,0,40,40
1167,0,0,44,36
1168,0,0,43,37
1169,0,0,40,40
1170,0,0,41,39
1171,0,0,39,41
1172,0,0,38,42
1173,0,0,39,41
1174,0,0,37,43
1175,0,0,38,42
1176,0,0,39,41
1177,0,0,37,43
1178,0,0,40,40
1179,0,0,37,43
1180,0,0,38,42
1181,0,0,36,44
1182,0,0,35,45
1183,0,0,33,47
1184,0,0,32,48
1185,0,0,34,46
1186,0,0,30,50
1187,0,0,28,52
1188,0,0,27,53
1189,0,0,28,52
1190,0,0,28,52
1191,0,0,27,53
1192,0,0,24,56
1193,0,0,23,57
1194,0,0,20,60
1195,0,0,20,60
1196,0,0,21,59
1197,0,0,24,56
1198,0,0,25,55
1199,0,0,26,54
1200,0,0,23,57
1201,0,0,24,56
1202,0,0,25,55
1203,0,0,25,55
1204,0,0,26,54
1205,0,0,29,51
1206,0,0,30,50
1207,0,0,31,49
1208,0,0,30,50
1209,0,0,30,50
1210,0,0,32,48
1211,0,0,33,47
1212,0,0,37,43
1213,0,0,35,45
1214,0,0,35,45
1215,0,0,37,43
1216,0,0,39,41
1217,0,0,40,40
1218,0,0,41,39
1219,0,0,42,38
1220,0,0,44,36
1221,0,0,47,33
1222,0,0,50,30
1223,0,0,52,28
1224,0,0,51,29
