stop_id,name,kind,lat,lon,campus_dist_m,daily_trips
BS_TAGO_GGB204000110,가천대역.가천대학교,버스,37.449717,127.126367,207,539
BS_ACC3_31000150,가천대 [경기],버스,37.45104,127.12584,242,215
BS_TAGO_GGB204000092,가천대,버스,37.450967,127.12575,247,669
RS_ACC1_S-1-1851,가천대,도시철도,37.44861,127.1267,263,336
BS_TAGO_GGB204000259,가천대역(마을),버스,37.447605,127.127045,346,410
BS_TAGO_GGB204000255,가천대역두산위브아파트.신일교회,버스,37.449381,127.132957,411,268
BS_TAGO_GGB204000270,태평중학교,버스,37.446688,127.129038,426,339
BS_TAGO_GGB204000111,복우물.웃말입구,버스,37.454117,127.126233,448,533
BS_TAGO_GGB204000266,이화유치원,버스,37.448521,127.133067,458,268
BS_TAGO_GGB204000250,봉국사,버스,37.449954,127.134768,555,536
BS_TAGO_GGB204000267,성도신용협동조합,버스,37.447204,127.1337,586,268
BS_TAGO_GGB204000271,한전사거리,버스,37.445141,127.129757,605,339
BS_TAGO_GGB204000075,태평3동행정복지센터.태평초교,버스,37.445583,127.132233,637,242
BS_TAGO_GGB204000191,태평초등학교,버스,37.445217,127.131533,644,487
BS_TAGO_GGB204000108,태평3동행정복지센터,버스,37.445683,127.1331,671,590
BS_TAGO_GGB204000109,태평고개,버스,37.444217,127.128117,698,222
BS_TAGO_GGB204000023,수진리고개.태평고개,버스,37.444333,127.126733,702,525
BS_TAGO_GGB204000253,복정파출소.복정캠퍼스맛집거리,버스,37.456733,127.125867,730,533
BS_TAGO_GGB204000232,태평오거리,버스,37.446167,127.134767,732,582
BS_TAGO_GGB204000074,한국전력,버스,37.443933,127.13025,745,276
BS_TAGO_GGB204000260,태평고개(마을),버스,37.443709,127.127309,761,339
BS_TAGO_GGB204000272,공영주차장.통보아파트2차(마을),버스,37.446688,127.136345,810,393
BS_TAGO_GGB204000254,영장공원,버스,37.450871,127.137955,833,268
BS_TAGO_GGB204000018,태평2동행정복지센터,버스,37.447017,127.1376,889,582
RS_ACC1_S-1-1852,태평,도시철도,37.44002,127.12771,1165,336
RS_ACC1_S-1-1853,모란,도시철도,37.43209,127.12912,2044,336
RS_ACC1_S-1-1031,복정,도시철도,37.47037,127.12668,2211,336
